0.00275,0.00175,0.00325,0.0015,0.004,0.002,0.00225,0.00425,0.0055,0.0035,0.00475,0.00425,0.008,0.0055,0.00825,0.01075,0.0115,0.01825,0.0185,0.0205,0.0345,0.029,0.033,0.0265,0.0655,0.102,0.07675,0.0835,0.09175,0.2325,0.168,0.05125,0.24875,0.12975,0.40975,0.37625,0.083,0.2505,0.0125,0.1875,0.2495,0.1085,0,0.16025,0,0,0.25875,0.15075,0.33775,0.292,0,0.2915,0.163,0.159,0.151,0,0.10175,0.12725,0,0,0,0.11525,0,0,0
0.00175,0.00325,0.003,0.0015,0.00425,0.0055,0.0035,0.009,0.003,0.003,0.00375,0.00475,0.00525,0.013,0.00675,0.011,0.01375,0.0075,0.01775,0.0135,0.0225,0.0205,0.0385,0.0465,0.148,0.06275,0.07975,0.1365,0.1075,0.239,0.35975,0.16625,0.0355,0.01,0.226,0.348,0,0.50425,0.431,0.01625,0.2435,0.00075,0.107,0.164,0.341,0.3795,0.25225,0.1,0.13025,0.34875,0.09525,0.36175,0.092,0.33825,0.29075,0.24325,0.125,0.1265,0,0.083,0,0.0895,0.118,0.08275,0.0925
0.00325,0.00425,0.005,0.0035,0.00475,0.004,0.00375,0.00625,0.00325,0.003,0.0045,0.0085,0.005,0.00925,0.01075,0.012,0.02525,0.0125,0.00875,0.02575,0.02975,0.026,0.02025,0.02675,0.05625,0.05175,0.09025,0.15025,0.07275,0.05425,0.22275,0.05575,0.06675,0.00375,0.22175,0.4335,0.08975,0.25825,0.1085,0.18475,0.152,0.53025,0.03075,0,0.2505,0.4,0,0.0995,0.19975,0.08975,0.16925,0.125,0.125,0.1045,0,0.1625,0,0.12275,0,0,0,0.24925,0,0,0
0.003,0.002,0.0025,0.0065,0.00175,0.00525,0.00475,0.0045,0.005,0.0065,0.00775,0.00475,0.00875,0.00475,0.016,0.0085,0.00775,0.01075,0.01325,0.0195,0.03825,0.01375,0.02175,0.044,0.03975,0.03475,0.13075,0.0515,0.21225,0.06225,0.248,0.099,0.12525,0.2505,0.1545,0.035,0.25675,0.248,0.01775,0.014,0.14075,0.29825,0,0.22075,0.1305,0.29125,0.12675,0.33125,0.416,0.235,0.22275,0.16625,0.254,0.138,0.16025,0,0,0.1215,0.125,0.125,0,0.1075,0,0.127,0.2185
0.005,0.0025,0.004,0.00475,0.00325,0.0045,0.00675,0.0045,0.00425,0.0045,0.004,0.011,0.0065,0.008,0.01,0.01175,0.01375,0.01675,0.00875,0.02375,0.01325,0.05525,0.03775,0.0275,0.06,0.12525,0.09425,0.111,0.3505,0.1815,0.27775,0.18825,0.27575,0.18075,0.246,0.208,0.6245,0.25,0.06975,0.49875,0.25275,0.165,0.10425,0.27325,0.254,0,0.28675,0.29725,0.392,0.45025,0.09975,0.38675,0.125,0,0.08525,0,0.12675,0,0.1415,0.11975,0,0,0,0,0
0.0025,0.00525,0.00325,0.00475,0.0055,0.00725,0.008,0.01,0.007,0.00875,0.0065,0.0085,0.00825,0.00575,0.017,0.015,0.01075,0.01925,0.04,0.03475,0.022,0.0335,0.031,0.03525,0.0645,0.09825,0.08375,0.09525,0.24875,0.18525,0.07275,0.03875,0.029,0.2115,0.028,0.2865,0.3295,0.38675,0.34075,0.06675,0.0985,0.003,0.103,0.214,0.29975,0.4445,0.24375,0.12725,0.3965,0.362,0.18875,0.0915,0.17725,0.2105,0.077,0.12625,0.22525,0,0.125,0.10975,0.1195,0,0,0.125,0.12225
0.00325,0.0065,0.003,0.00375,0.0055,0.00425,0.00375,0.005,0.00725,0.0065,0.00675,0.00725,0.0085,0.01075,0.01675,0.0205,0.01975,0.0115,0.02875,0.02425,0.02975,0.041,0.027,0.039,0.04825,0.07675,0.08075,0.07125,0.125,0.0785,0.08125,0.02325,0.015,0.24175,0.229,0.02925,0.31525,0.246,0.12525,0.24375,0.2485,0.154,0.00125,0.1725,0.05575,0.12525,0.64375,0.34375,0.0785,0.36675,0.23475,0.17675,0.42175,0.227,0.123,0.5755,0.14975,0.12625,0,0.1245,0.154,0,0,0.125,0.07125
0.007,0.004,0.007,0.0035,0.002,0.00675,0.0045,0.00525,0.01175,0.00825,0.00675,0.00825,0.00875,0.00975,0.01075,0.0165,0.01575,0.01625,0.02175,0.02325,0.041,0.10125,0.032,0.05075,0.062,0.11275,0.1745,0.097,0.07725,0.03525,0.08075,0.087,0.08975,0.22425,0.408,0.47175,0.003,0.008,0.1485,0,0.2315,0.01225,0.10175,0.2265,0.40675,0.1985,0.125,0.295,0.125,0.373,0.33575,0.3375,0,0,0.12525,0,0.25375,0,0,0,0.0705,0.125,0,0,0
0.004,0.00425,0.00375,0.0045,0.00975,0.0105,0.004,0.00725,0.00675,0.006,0.01025,0.0065,0.008,0.016,0.007,0.01925,0.02025,0.014,0.02425,0.028,0.04,0.046,0.05625,0.02875,0.11025,0.052,0.09075,0.16075,0.23825,0.074,0.211,0.02825,0.2435,0.0035,0.09125,0.25525,0.11575,0.2345,0.232,0.48825,0,0.106,0.2945,0.10175,0.41175,0.089,0.087,0.083,0.40675,0.20475,0.2955,0.19975,0,0.27375,0.32175,0,0.161,0.09375,0.078,0.10325,0.04975,0,0,0,0
0.00175,0.0055,0.007,0.006,0.00475,0.00825,0.0075,0.01125,0.0075,0.008,0.0085,0.0065,0.0135,0.01075,0.0115,0.01325,0.0235,0.022,0.02075,0.01775,0.025,0.04225,0.038,0.04075,0.0875,0.07125,0.09375,0.07325,0.07825,0.12625,0.033,0.1655,0.28325,0.316,0.07425,0.22275,0.00225,0.03425,0.00925,0.03825,0.24975,0.423,0.06575,0.25975,0.3955,0.0535,0.226,0.399,0.177,0.20225,0.1245,0.22875,0.0945,0,0.0965,0.1085,0.17375,0.1395,0.05375,0.0895,0.12525,0.125,0.09,0.093,0.125
